# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/m38_p6/gencode.vM25.chr_patch_hapl_scaff.basic.annotation.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//counts/cpid_multireg_control_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000007613.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	47353222;47353307;47353610;47382913;47383749;47383749;47383749;47386216;47393247;47393247;47393259;47393259;47396355;47396355;47396355;47396355;47402803;47402803;47402803;47402803;47403370;47403370;47403370;47403370;47405529;47405529;47405529;47405529;47406922;47406922;47406922;47406922;47410652;47410652;47410652;47410652	47353396;47353396;47353861;47383044;47383994;47383994;47383994;47386489;47393489;47393489;47393489;47393489;47396585;47396585;47396585;47396585;47402970;47402970;47402970;47402970;47403526;47403526;47403526;47403526;47405653;47405653;47405653;47405653;47407052;47407052;47407052;47407052;47411035;47410807;47412133;47414931	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6414	146	194
ENSMUSG00000081152.1	chr4	47453632	47454953	+	1322	0	0
ENSMUSG00000039740.6	chr4;chr4	47469833;47473939	47472458;47474333	-;-	3021	463	723
ENSMUSG00000053317.11	chr4;chr4;chr4;chr4	47474658;47474912;47480131;47482975	47474753;47475009;47480232;47483242	+;+;+;+	564	340	553
ENSMUSG00000098999.1	chr4	47593337	47593463	+	127	0	0
ENSMUSG00000098518.1	chr4	47603889	47604008	+	120	0	0
ENSMUSG00000102450.1	chr4;chr4;chr4;chr4	47827224;47830400;47886900;47927281	47827758;47830744;47886994;47927365	-;-;-;-	1060	0	0
ENSMUSG00000089349.1	chr4	47920755	47920897	+	143	0	0
ENSMUSG00000085660.1	chr4;chr4	47996456;47997701	47996547;47998261	+;+	653	0	0
ENSMUSG00000028341.9	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48045153;48048952;48051246;48055930;48056534;48067663;48070990;48083105	48045716;48049128;48052201;48056059;48056706;48067862;48071168;48086445	+;+;+;+;+;+;+;+	5720	124	248
ENSMUSG00000061455.13	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48124915;48124926;48124935;48129053;48131765;48131765;48131765;48140420;48140420;48158811;48158811;48158811;48166928;48166928;48166928;48167206;48167206;48167206;48180670;48180670;48180670;48181499;48181499;48181499;48182058;48182840;48183415;48185080	48124958;48124958;48124958;48129098;48131949;48131949;48131949;48140485;48140485;48159033;48159033;48159033;48167043;48167043;48167043;48167256;48167256;48167256;48180756;48180756;48180756;48182231;48186507;48181535;48182093;48182937;48183476;48185911	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5827	104	156
ENSMUSG00000028343.10	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48193323;48196803;48204144;48205118;48208697;48211650;48218081;48219343;48236873;48241296;48243477;48279384	48194709;48196905;48204285;48205229;48208813;48211707;48218196;48219527;48236988;48241335;48243549;48279558	-;-;-;-;-;-;-;-;-;-;-;-	2624	361	421
ENSMUSG00000087844.1	chr4	48213119	48213215	-	97	0	0
ENSMUSG00000028344.12	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48279802;48283226;48307683;48382105;48385105;48389959;48392584;48396235;48397505;48398050;48402833;48407598;48415906;48421447;48425995;48427034;48429605	48279975;48283355;48307849;48382278;48385272;48390139;48392693;48396406;48397660;48398279;48402939;48407810;48416198;48422149;48426224;48427108;48431954	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5633	32	53
ENSMUSG00000081953.1	chr4	48344215	48345230	-	1016	0	0
ENSMUSG00000028345.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48430858;48430956;48433108;48433108;48434902;48434902;48436437;48436437;48451926;48451926;48452893;48452893;48456734;48456734;48458538;48458538;48459251;48459251;48459864;48459864;48462769;48462769;48467664;48467664;48468281;48468281;48469884;48469884;48472104;48473266;48473266	48431083;48431083;48433318;48433318;48435083;48435083;48436517;48436517;48452059;48452059;48452981;48452981;48456911;48456911;48458713;48458713;48459386;48459386;48460102;48460102;48462881;48462881;48467904;48467904;48468993;48468993;48470072;48470072;48472339;48473422;48473459	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3338	138	225
ENSMUSG00000039693.11	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48539935;48540079;48540499;48552380;48552380;48552380;48560844;48560844;48560844	48539997;48540271;48540568;48552830;48552830;48552830;48561919;48561918;48561577	+;+;+;+;+;+;+;+;+	1853	177	203
ENSMUSG00000028347.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	48585174;48585365;48604581;48604581;48610413;48610413;48614957;48614957;48617235;48617235;48636840;48636840;48638980;48638980;48650295;48650295;48658774;48658774;48662001;48662001	48585641;48585641;48604690;48604690;48610542;48610542;48614983;48614983;48617331;48617331;48636988;48636988;48639045;48639045;48650418;48650418;48658932;48658932;48662085;48663131	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2461	721	1142
ENSMUSG00000028348.7	chr4;chr4	48663514;48671965	48664029;48673502	+;+	2054	6	3
ENSMUSG00000080850.1	chr4	48675156	48675520	+	365	0	5
ENSMUSG00000083091.1	chr4	48745515	48745850	-	336	0	0
ENSMUSG00000093240.1	chr4	48762851	48762962	-	112	0	0
ENSMUSG00000077417.1	chr4	48896499	48896623	+	125	0	0
ENSMUSG00000084787.1	chr4;chr4;chr4;chr4	48898593;48914213;48943563;48960688	48898759;48914341;48943675;48963237	+;+;+;+	2959	0	0
ENSMUSG00000083869.1	chr4	48972978	48973315	+	338	0	0
ENSMUSG00000063446.4	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	49059282;49206388;49282256;49300921;49319761;49323348;49325619;49337646	49059617;49206495;49282444;49301053;49320011;49323524;49325750;49340259	+;+;+;+;+;+;+;+	3940	12	19
ENSMUSG00000064782.1	chr4	49289298	49289403	+	106	0	0
ENSMUSG00000096476.1	chr4	49342248	49342578	+	331	0	0
ENSMUSG00000081770.1	chr4	49350522	49351527	+	1006	0	0
ENSMUSG00000060317.9	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	49379840;49379920;49381722;49381722;49383086;49383086;49407663;49408116	49380707;49380707;49381924;49381870;49383576;49383576;49407728;49408151	-;-;-;-;-;-;-;-	1664	0	0
ENSMUSG00000082725.1	chr4;chr4;chr4;chr4	49396112;49398559;49400838;49407700	49396402;49398735;49400969;49407732	+;+;+;+	633	0	0
ENSMUSG00000094082.1	chr4	49412307	49412637	+	331	0	0
ENSMUSG00000070985.3	chr4;chr4;chr4;chr4;chr4;chr4	49447105;49447109;49449096;49449096;49450644;49450644	49447910;49447910;49449298;49449244;49451137;49451134	-;-;-;-;-;-	1503	0	0
ENSMUSG00000084479.1	chr4	49474307	49474410	+	104	0	0
ENSMUSG00000039653.9	chr4;chr4;chr4;chr4;chr4;chr4;chr4	49489422;49489820;49499636;49499636;49502655;49502655;49506329	49490413;49490413;49499838;49499838;49503120;49503171;49506557	-;-;-;-;-;-;-	1941	1	7
ENSMUSG00000044018.3	chr4;chr4	49512596;49520962	49514577;49521093	-;-	2114	385	535
ENSMUSG00000039634.12	chr4;chr4;chr4;chr4;chr4;chr4;chr4	49521176;49521217;49521423;49522398;49522398;49529017;49529017	49521251;49521595;49521595;49522482;49522482;49531517;49531517	+;+;+;+;+;+;+	3006	110	103
ENSMUSG00000028307.9	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	49535995;49538128;49538718;49539713;49541131;49542794;49543657;49544797;49549434	49536888;49538327;49538892;49539796;49541291;49542848;49543868;49544918;49549546	-;-;-;-;-;-;-;-;-	2016	9	30
ENSMUSG00000039611.2	chr4;chr4	49584506;49597624	49587241;49597876	-;-	2989	891	1051
ENSMUSG00000028309.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	49632060;49632066;49632365;49633254;49633254;49637906;49637906;49638187;49638187;49638625;49638625;49642066;49642066;49644484;49644484;49645619;49645619;49645886;49645886;49648286;49648286;49649270;49649270;49649726;49649726;49649963;49649963;49651431;49651431;49652522;49652522;49653065;49653065;49654191;49654191;49654447;49654447;49655411;49655411;49655801;49655801	49632512;49632211;49632512;49633410;49633410;49638073;49638073;49638334;49638334;49638807;49638807;49642184;49642184;49644630;49644630;49645696;49645696;49646005;49646005;49648465;49648465;49649405;49649405;49649847;49649847;49650327;49650327;49651548;49651548;49652671;49652671;49653277;49653277;49654316;49654316;49654587;49654587;49655512;49655512;49656887;49656886	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4313	373	552
ENSMUSG00000039579.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	49661611;49661611;49670024;49670024;49672473;49672473;49702719;49702719;49714130;49714130;49719247;49719247;49770419;49770419;49792428;49792428;49844383;49844383	49665565;49665625;49670100;49670100;49672637;49672637;49702870;49702870;49714245;49714245;49719392;49719392;49771466;49771466;49793032;49793032;49845549;49845549	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7491	501	866
ENSMUSG00000028310.2	chr4;chr4	49678747;49681440	49681187;49682024	-;-	3026	0	8
ENSMUSG00000083153.1	chr4;chr4	49746731;49747135	49746974;49747246	-;-	356	13	1
ENSMUSG00000081120.1	chr4	50050909	50051403	-	495	0	0
ENSMUSG00000095394.1	chr4	50286746	50286877	+	132	0	0
ENSMUSG00000084116.1	chr4	51190107	51190463	+	357	1	0
ENSMUSG00000039555.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	51216678;51216678;51222422;51222422;51225125;51225125;51228111;51228111;51229261;51231873;51232270;51236192;51250465	51216722;51216722;51222462;51222462;51225246;51225246;51230654;51228531;51229928;51231980;51232379;51236374;51250622	+;+;+;+;+;+;+;+;+;+;+;+;+	3311	0	0
ENSMUSG00000019836.5	chr4	51253025	51254027	-	1003	0	0
ENSMUSG00000087958.1	chr4	51540747	51541015	+	269	0	0
ENSMUSG00000088515.1	chr4	51655767	51655875	+	109	0	0
ENSMUSG00000088954.1	chr4	51799920	51800352	+	433	0	0
ENSMUSG00000064923.1	chr4	51812483	51812647	-	165	0	0
ENSMUSG00000081050.1	chr4	51892893	51894131	+	1239	0	0
ENSMUSG00000085515.1	chr4;chr4;chr4	51968094;52035527;52051008	51971248;52035655;52051110	-;-;-	3387	0	0
ENSMUSG00000082963.1	chr4	52077168	52077467	-	300	0	0
ENSMUSG00000083539.1	chr4	52240903	52241522	+	620	0	1
ENSMUSG00000082267.1	chr4	52241712	52242456	+	745	0	0
ENSMUSG00000083338.1	chr4	52360823	52362211	-	1389	0	0
ENSMUSG00000085763.1	chr4;chr4	52430285;52438652	52430596;52438965	-;-	626	18	10
ENSMUSG00000028312.19	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	52439243;52439243;52440201;52440201;52442253;52442253;52445952;52445952;52447713;52447713;52449321;52449321;52449611;52449611;52450820;52450820;52451228;52451228;52457262;52457262;52458415;52458415;52459021;52459021;52460158;52460158;52461050;52461050;52462803;52462803;52465933;52465933;52467790;52467790;52469772;52469772;52470766;52470766;52474921;52474921;52476644;52476644;52478396;52478396;52481670;52481670;52484040;52484040;52486497;52486497	52439334;52439410;52440423;52440423;52442402;52442402;52446074;52446074;52447751;52447751;52449431;52449431;52449655;52449655;52451053;52451053;52451377;52451377;52457495;52457495;52458574;52458574;52459138;52459138;52460296;52460296;52461169;52461169;52463007;52463007;52466068;52466068;52467914;52467914;52469965;52469965;52470909;52470909;52475115;52475115;52476844;52476844;52478512;52478512;52481830;52481830;52484187;52484187;52488260;52488260	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5404	91	189
ENSMUSG00000084380.1	chr4	52443915	52444172	-	258	0	0
ENSMUSG00000061619.3	chr4	52496939	52497244	-	306	0	0
ENSMUSG00000028314.6	chr4;chr4;chr4;chr4	52596274;52607206;52609826;52609838	52596336;52607314;52612430;52612427	+;+;+;+	2777	0	0
ENSMUSG00000089717.2	chr4	52825399	52826358	+	960	0	0
ENSMUSG00000081975.1	chr4	52821488	52822117	+	630	1	0
ENSMUSG00000110940.1	chr4;chr4	52842198;52842858	52842603;52843046	-;-	595	0	0
ENSMUSG00000049648.4	chr4;chr4;chr4;chr4	52852154;52855514;52858227;52859111	52856589;52856572;52858469;52859227	-;-;-;-	4796	0	0
ENSMUSG00000110756.1	chr4;chr4	52878008;52878498	52878408;52878702	+;+	606	0	0
ENSMUSG00000083937.3	chr4;chr4	52900599;52901637	52901198;52902683	+;+	1647	0	0
ENSMUSG00000051593.4	chr4;chr4;chr4;chr4;chr4;chr4;chr4	52910207;52910207;52910833;52916538;52916538;52918949;52918949	52911820;52911820;52911794;52916666;52916635;52919172;52919178	-;-;-;-;-;-;-	1973	0	0
ENSMUSG00000082216.4	chr4;chr4	52935430;52935430	52936281;52936381	-;-	952	0	0
ENSMUSG00000070983.3	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	52964547;52964564;52967816;52967816;52968055;52968348;52968348;52968348;52970504;52970504;52970504;52970629	52964831;52965491;52967933;52967933;52968159;52968475;52968475;52968475;52972474;52972474;52972474;52971567	+;+;+;+;+;+;+;+;+;+;+;+	3267	0	0
ENSMUSG00000015242.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	52989284;52989418;52993975;52993975;52995819;52995819;52997160;52997160;53000124;53000124;53000298;53000298;53000748	52989492;52989498;52994185;52994185;52995977;52995977;52997309;52997309;53000210;53000210;53001162;53000473;53000854	+;+;+;+;+;+;+;+;+;+;+;+;+	1687	0	0
ENSMUSG00000015247.10	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	53011880;53011950;53015015;53015015;53017049;53017049;53020182;53021111;53021111;53021284;53021284	53012047;53012047;53015225;53015225;53017207;53017207;53020331;53021197;53021197;53021576;53022060	+;+;+;+;+;+;+;+;+;+;+	1552	108	212
ENSMUSG00000015243.4	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	53030787;53035337;53036262;53036873;53038157;53038619;53040719;53041539;53042314;53042664;53044115;53045775;53046030;53048956;53050289;53050935;53059257;53060333;53061487;53062390;53065901;53067031;53068687;53069792;53070076;53071823;53072898;53074220;53075131;53075447;53076891;53077943;53079571;53080766;53081922;53083717;53084384;53085096;53085993;53089799;53090254;53092729;53095585;53107006;53109164;53127597;53128721;53132922;53143930;53159676	53034083;53035580;53036354;53036976;53038291;53038760;53040825;53041601;53042434;53042793;53044238;53045919;53046145;53049133;53050458;53051009;53059362;53060365;53061581;53062579;53065999;53067155;53068835;53069905;53070124;53072025;53072970;53074440;53075268;53075589;53077022;53078114;53079684;53080970;53082143;53083939;53084560;53085301;53086190;53089915;53090393;53092969;53095677;53107182;53109285;53127715;53128862;53133015;53144095;53159895	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10262	168	272
ENSMUSG00000087192.7	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	53205066;53206967;53207271;53209304;53214473;53214644;53215500;53217351	53205299;53207181;53207467;53209525;53214566;53214674;53215536;53217561	-;-;-;-;-;-;-;-	1241	0	0
ENSMUSG00000086947.1	chr4;chr4;chr4	53246196;53247387;53251018	53246409;53247521;53251115	+;+;+	447	0	0
ENSMUSG00000086712.2	chr4;chr4	53261356;53270079	53263234;53270232	-;-	2033	0	0
ENSMUSG00000083735.1	chr4	53308226	53308672	+	447	0	0
ENSMUSG00000086267.1	chr4;chr4	53401948;53403420	53402004;53404030	-;-	668	0	0
ENSMUSG00000028412.17	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	53440413;53440413;53440671;53440684;53481464;53481464;53481464;53481464;53491388;53491388;53491388;53491388;53517545;53517545;53517545;53517545;53528655;53528655;53528655;53528655;53535612;53536323;53536323;53536323;53536323;53538390;53538390;53538390;53538390;53538390;53541301;53541301;53541301;53541301;53541301;53542365;53542365;53542365;53542365;53542365;53543542;53543542;53543542;53543542;53543542;53544541;53544541;53544541;53544541;53544541;53545685;53545685;53545685;53545685;53545685;53549989;53553486;53553486;53553486;53553486;53560915;53560915;53560915;53560915;53563141;53563141;53563141;53563141;53565397;53621595;53621595	53440716;53440716;53440716;53440716;53481553;53481553;53481553;53481553;53491530;53491530;53491530;53491530;53517681;53517681;53517681;53517681;53528748;53528748;53528748;53528748;53536492;53536492;53536492;53536492;53536492;53538479;53538479;53538479;53538479;53538479;53541440;53541440;53541440;53541440;53541440;53542551;53542551;53542551;53542551;53542551;53543707;53543707;53543707;53543707;53543707;53544697;53544697;53544697;53544697;53544697;53545768;53545768;53545768;53545768;53545768;53550200;53553623;53553623;53553623;53553623;53561151;53561151;53561151;53561151;53563221;53563450;53563221;53563221;53567818;53621798;53622478	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6676	447	654
ENSMUSG00000084970.1	chr4;chr4	53562983;53564512	53563856;53564697	-;-	1060	0	0
ENSMUSG00000054752.16	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	53631471;53643280;53646987;53646987;53647670;53647670;53649792;53649792;53655741;53655741;53659513;53659513;53679794;53679794;53682100;53682100;53686388;53686388;53693984;53693984;53694608;53694608;53696890;53696890;53701041;53701041	53631612;53643294;53647082;53647082;53647801;53647801;53649893;53649893;53655763;53655763;53659634;53659634;53680003;53680003;53682198;53682198;53686517;53686517;53694084;53694084;53694859;53694859;53696978;53696978;53707009;53707009	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7482	283	360
ENSMUSG00000081516.1	chr4	53662296	53663344	+	1049	0	0
ENSMUSG00000028414.17	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	53713998;53714188;53720005;53720007;53720007;53729980;53729980;53729980;53731132;53731132;53731132;53734850;53734850;53734850;53737527;53737527;53737527;53744619;53744619;53744619;53747009;53747009;53747009;53748369;53748369;53748369;53761174;53761174;53761174	53714195;53714546;53720209;53720209;53720209;53730039;53730039;53730039;53731335;53731335;53731335;53735127;53735127;53735127;53737659;53737659;53737659;53744748;53744748;53744748;53747142;53747142;53747142;53748496;53748496;53748496;53763271;53765785;53765785	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6433	673	935
ENSMUSG00000089621.1	chr4	53720902	53721200	-	299	0	0
ENSMUSG00000028417.3	chr4;chr4	53779705;53785811	53779773;53788712	+;+	2971	3	5
ENSMUSG00000084403.1	chr4	53791070	53791456	-	387	1	2
ENSMUSG00000028420.13	chr4;chr4;chr4;chr4;chr4;chr4	53826045;53840627;53848866;53850474;53854312;53859882	53826220;53840783;53849050;53850561;53854429;53862019	+;+;+;+;+;+	2862	45	109
ENSMUSG00000065887.1	chr4	53860652	53860770	+	119	0	0
ENSMUSG00000083985.3	chr4	53877925	53878328	+	404	0	0
ENSMUSG00000077418.1	chr4	53905696	53905820	+	125	0	0
ENSMUSG00000089552.1	chr4	54004057	54004187	+	131	0	0
ENSMUSG00000086987.1	chr4;chr4	54151831;54163181	54151913;54163678	-;-	581	0	0
ENSMUSG00000083624.1	chr4	54235670	54235876	-	207	0	0
ENSMUSG00000093183.2	chr4	54468352	54468592	+	241	0	0
ENSMUSG00000081428.1	chr4	54564623	54565143	+	521	0	1
ENSMUSG00000099421.1	chr4	54645811	54646280	-	470	0	0
ENSMUSG00000086371.1	chr4;chr4	54646542;54689358	54646800;54689451	+;+	353	0	0
ENSMUSG00000087077.1	chr4;chr4	54651903;54655338	54651936;54656077	+;+	774	0	0
ENSMUSG00000083868.1	chr4	54669622	54670192	-	571	0	0
ENSMUSG00000084710.1	chr4	54710624	54710912	+	289	0	0
ENSMUSG00000082111.1	chr4	54853128	54854712	+	1585	0	0
ENSMUSG00000060206.11	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	54947976;55007533;55008256;55011366;55011480;55014683;55014683;55014683;55016814;55016817;55016997;55020089;55020089;55020089;55023415;55023415;55023415;55050186;55050186;55050186;55051191;55051191;55051191;55060014;55060014;55060014;55072973;55072973;55072973;55079264;55079264;55079264;55080666;55080666;55080666	54948232;55007782;55013849;55013849;55013849;55014847;55014847;55014847;55017100;55017100;55017100;55020207;55020207;55020207;55023606;55023606;55023606;55050453;55050453;55050453;55051327;55051327;55051327;55060237;55060237;55060237;55073105;55073105;55073105;55079387;55079387;55079387;55081330;55081358;55083563	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10648	563	775
ENSMUSG00000082704.1	chr4	55116563	55116923	+	361	0	0
ENSMUSG00000087614.1	chr4;chr4;chr4;chr4;chr4	55131208;55131436;55135175;55136108;55279343	55131676;55131676;55135501;55136200;55279479	-;-;-;-;-	1026	0	0
ENSMUSG00000081177.1	chr4	55163008	55163616	+	609	0	0
ENSMUSG00000081504.3	chr4	55254740	55255219	+	480	1	1
ENSMUSG00000081542.1	chr4	55282064	55282280	-	217	0	0
ENSMUSG00000077403.2	chr4	55299655	55299845	-	191	0	0
ENSMUSG00000028426.10	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	55350043;55366777;55368045;55370204;55378234;55380989;55382480;55383587;55385410;55389884	55350427;55366858;55368124;55370472;55378289;55381116;55382615;55383714;55385601;55392237	+;+;+;+;+;+;+;+;+;+	3810	1378	2129
ENSMUSG00000084144.1	chr4	55392317	55392701	-	385	0	0
ENSMUSG00000084404.1	chr4	55408956	55409307	-	352	0	0
ENSMUSG00000087070.1	chr4;chr4;chr4;chr4	55410443;55411807;55413909;55418681	55410655;55411961;55414135;55418842	-;-;-;-	757	0	0
ENSMUSG00000086346.1	chr4;chr4	55450684;55465699	55450929;55465814	-;-	362	0	0
ENSMUSG00000077635.1	chr4	55469025	55469159	-	135	0	0
ENSMUSG00000082952.1	chr4	55508294	55508708	+	415	0	0
ENSMUSG00000003032.8	chr4;chr4;chr4;chr4;chr4	55527143;55529718;55529999;55531630;55531867	55528300;55529882;55530983;55531750;55532466	-;-;-;-;-	3029	90	89
ENSMUSG00000066176.3	chr4;chr4	55563265;55598067	55563637;55599296	+;+	1603	0	0
ENSMUSG00000085375.1	chr4;chr4;chr4;chr4;chr4	55605149;55605393;55608053;55608335;55636844	55605201;55605790;55608158;55608525;55636901	+;+;+;+;+	806	0	0
ENSMUSG00000085643.1	chr4;chr4;chr4;chr4;chr4;chr4;chr4	55969023;55969198;55970656;55972924;55973657;55974367;55993614	55969093;55969232;55970771;55973111;55973730;55974449;55993739	-;-;-;-;-;-;-	693	0	0
ENSMUSG00000081290.1	chr4	56162940	56163255	+	316	0	0
ENSMUSG00000085020.1	chr4;chr4	56220617;56223963	56220816;56224521	-;-	759	0	0
ENSMUSG00000082613.1	chr4	56387802	56388580	+	779	0	0
ENSMUSG00000077663.1	chr4	56678904	56679035	-	132	0	0
ENSMUSG00000070980.4	chr4	56740005	56741443	-	1439	1	0
ENSMUSG00000096930.1	chr4	56740070	56741377	+	1308	0	0
ENSMUSG00000070979.5	chr4	56743413	56744925	+	1513	0	0
