# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/mm10/mm10.ensGene.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//counts/cpid_multireg_females_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000025575	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	118406289;118406289;118406290;118407644;118407644;118407644;118408681;118408681;118408681;118408681;118408681;118408681;118410080;118410853;118410853;118410853;118410853;118410853;118410853;118415730;118417574;118417574;118417574;118417574;118417574;118418930;118418930;118418930;118418972	118408094;118408094;118408094;118408094;118408094;118408094;118408884;118408884;118408884;118408884;118408884;118408884;118410190;118411511;118411511;118411511;118411511;118411511;118411511;118415794;118417654;118417806;118417654;118417654;118419086;118419023;118419023;118419052;118419052	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4358	380	348
ENSMUSG00000017446	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	118428203;118428499;118433245;118433853;118443471;118443692;118443692;118443692;118443692;118446501;118446501;118447801;118447801	118428568;118428568;118433410;118433902;118443557;118443850;118443850;118443850;118443843;118446640;118446640;118449963;118449963	+;+;+;+;+;+;+;+;+;+;+;+;+	3131	0	1
ENSMUSG00000086514	chr11;chr11;chr11	118444200;118448130;118454867	118445076;118448771;118454995	-;-;-	1648	0	0
ENSMUSG00000087036	chr11;chr11	118476470;118479277	118477785;118479458	-;-	1498	0	0
ENSMUSG00000033857	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	118476829;118476941;118476946;118476960;118476972;118476983;118478883;118478883;118478883;118478883;118478883;118478883;118479086;118479086;118479086;118479086;118479090;118479090;118481122;118481276;118481276;118481276;118481874;118481874;118481874;118481874;118481874;118481874;118482389;118482532;118482532;118482532;118482532;118482532;118482532;118482882;118482882;118482882;118482882;118482882;118482882;118482882;118484418;118484418;118484418;118484418;118484418;118484490;118484840;118484840;118484840;118484840;118484840;118484840;118485124;118485124;118485124;118485124;118485124;118485124;118485757;118485757;118485757;118485757;118485757;118485757;118486445;118486448;118486448;118486448;118486448;118486706;118486822;118486822;118486822;118486822;118486822;118487091;118487091;118487091;118487091;118487091;118487091	118477104;118477130;118477104;118477104;118477248;118477104;118478953;118478953;118478953;118478953;118478953;118478953;118479287;118479176;118479287;118479287;118479287;118479287;118481424;118481424;118481424;118481424;118482031;118482031;118482031;118482031;118482031;118482031;118482680;118482680;118482680;118482680;118482680;118482680;118482680;118483047;118482946;118483047;118483047;118483047;118483064;118483047;118484521;118484521;118484521;118484521;118484521;118484521;118484948;118484948;118484948;118484948;118484948;118484948;118485314;118485314;118485318;118485314;118485314;118485314;118485905;118485905;118486553;118485905;118485905;118485905;118486553;118486553;118486553;118486553;118486553;118486936;118486936;118486936;118486936;118486936;118486936;118487509;118487773;118489209;118487773;118489087;118489209	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5184	73	96
ENSMUSG00000025576	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	118489762;118489764;118491155;118491155;118491203;118491994;118494150;118494150;118494150;118494150;118494150;118494150;118495218;118495218;118495218;118495218;118495218;118495218;118496351;118496351;118496351;118496351;118496351;118496351;118496500;118496938;118496938;118496938;118496938;118496938;118496938;118496938;118497187;118497187;118497187;118497187;118497187;118497187;118497187;118501569;118501569;118501569;118501569;118501569;118501569;118501569;118502842;118502842;118502842;118502842;118502842;118502842;118502842;118503720;118503720;118503720;118503720;118503720;118503720;118503720;118503720;118505623;118505623;118505623;118505623;118505623;118505623;118505623;118505623;118507209;118513150;118513150;118513150;118513150;118513150;118513150;118513150;118569551;118610159;118610159;118610159;118610159;118610159;118670649;118670649;118670649;118670649;118670649;118670649;118760828;118811278;118811278;118811278;118811278;118811278;118811278;118811280;118888528;118907774;118909304;118909304;118909304;118909304;118911436	118491241;118491241;118491241;118492638;118491241;118492638;118494228;118494228;118494228;118494228;118494228;118494228;118495282;118495282;118495282;118495282;118495282;118495282;118496390;118496390;118496531;118496531;118496390;118496531;118496531;118497070;118497070;118497070;118497070;118497070;118497070;118497070;118497240;118497240;118497240;118497240;118497240;118497240;118497240;118501629;118501629;118501629;118501629;118501629;118501629;118501629;118502934;118502934;118502934;118502934;118502934;118502934;118502934;118503773;118503773;118503773;118503773;118503773;118503773;118503773;118503773;118505760;118505760;118505760;118505760;118505760;118505760;118505760;118505760;118507353;118513404;118513404;118513404;118513404;118513404;118513404;118513404;118569910;118610198;118610198;118610198;118610198;118610198;118670753;118670753;118670753;118670753;118670753;118670753;118761041;118811416;118811416;118811416;118811416;118811416;118811416;118811416;118888689;118908005;118909552;118909550;118909572;118909550;118911597	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5818	4658	6159
ENSMUSG00000085059	chr11;chr11;chr11;chr11	118791372;118792209;118793149;118793601	118791555;118792322;118793205;118793828	+;+;+;+	583	0	0
ENSMUSG00000077065	chr11	118852723	118852788	-	66	0	0
ENSMUSG00000084887	chr11;chr11	118866257;118867186	118866405;118867220	-;-	184	0	0
ENSMUSG00000046697	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	118988188;118988216;118988766;118988766;118990421;118990421;118992119;118992119;118992496;118992537;118992785	118988460;118988460;118988911;118988911;118991047;118991047;118992338;118992338;118992665;118992583;118992841	+;+;+;+;+;+;+;+;+;+;+	1493	0	0
ENSMUSG00000025577	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119022962;119023258;119023725;119024175;119026450;119026450;119027899;119027899	119023180;119023301;119024240;119024240;119026555;119026555;119028038;119031270	+;+;+;+;+;+;+;+	4257	18	41
ENSMUSG00000025578	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119036305;119039053;119039184;119039932;119039932;119039932;119040094;119040348;119040348;119040782;119040782;119040782	119039519;119039519;119039519;119040159;119039998;119039998;119040159;119040391;119040391;119040911;119040969;119040831	-;-;-;-;-;-;-;-;-;-;-;-	3675	54	91
ENSMUSG00000097614	chr11;chr11	119077573;119080971	119078193;119081865	+;+	1516	0	0
ENSMUSG00000039989	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119077573;119081373;119082517;119082517;119084532;119084563;119085757;119085757;119085949;119085949	119082301;119082301;119082583;119082583;119084628;119084628;119085800;119085800;119086221;119086221	-;-;-;-;-;-;-;-;-;-	5210	364	426
ENSMUSG00000086306	chr11;chr11;chr11	119106328;119107069;119111178	119106420;119107388;119111425	-;-;-	661	0	0
ENSMUSG00000086547	chr11;chr11;chr11;chr11;chr11;chr11	119123011;119124216;119125052;119125289;119137993;119138373	119123177;119124440;119125167;119125493;119138121;119138421	-;-;-;-;-;-	891	0	0
ENSMUSG00000039976	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119143045;119148931;119151028;119153889;119155082;119156020;119156643;119157740;119158731;119208771;119210505;119210641;119221844;119228396	119147816;119149077;119151207;119154075;119155216;119156168;119156810;119157887;119158892;119209368;119210740;119210740;119221976;119228499	-;-;-;-;-;-;-;-;-;-;-;-;-;-	7119	164	184
ENSMUSG00000097294	chr11;chr11	119151651;119155687	119154025;119156994	+;+	3683	0	0
ENSMUSG00000098704	chr11	119154076	119154137	-	62	0	0
ENSMUSG00000085548	chr11;chr11	119183953;119184308	119184139;119184516	-;-	396	0	0
ENSMUSG00000087404	chr11;chr11	119220160;119222148	119220343;119222473	+;+	510	0	0
ENSMUSG00000039963	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119228572;119228599;119228605;119229028;119229028;119229129;119230622;119230625;119230625;119231473;119231473;119231473;119231473;119234652;119234652;119236144;119236144;119237864;119237864;119238029;119238029;119238718;119242427;119242427;119242713;119242713;119242997;119242997;119245835;119245835;119245835;119246168;119246168;119250939;119250939;119250939;119251803;119251803;119251803;119253250;119253250;119253553;119253620;119253620;119254342;119254342;119254342;119258927;119259766;119259855;119259855;119259855;119259855;119262763;119262872;119263075;119263075;119263075;119263075;119264266;119264266;119264266;119264266	119229162;119228747;119228747;119229162;119229162;119229162;119230694;119230694;119230694;119231644;119232288;119231728;119232288;119234796;119234796;119236298;119236298;119237947;119237947;119238248;119238248;119238772;119242584;119242584;119242835;119242835;119243118;119243118;119246350;119246078;119246078;119246350;119246350;119251184;119251184;119251184;119251809;119252016;119252016;119253419;119253419;119253711;119253711;119253711;119254462;119254462;119254462;119259269;119260043;119260043;119260043;119260043;119260043;119262900;119263233;119263120;119263233;119263233;119263233;119264306;119264436;119265236;119265212	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6031	2	1
ENSMUSG00000025579	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119267887;119268026;119268028;119270088;119270088;119270088;119270516;119272870;119272870;119272870;119272870;119273975;119273975;119273975;119274215;119274215;119274568;119274641;119274641;119274641;119274856;119274856;119274856;119274856;119274856;119275060;119275060;119275060;119275060;119275060;119275336;119276842;119276842;119276842;119277501;119277501;119277501;119277694;119277694;119277694;119277714;119278265;119278265;119278265;119278265;119278876;119278876;119278876;119278876;119279382;119280412;119280412;119280412;119281113;119281113;119281113;119283174;119283174;119283660;119283660;119284059;119284059;119284447;119284447;119285005;119285005	119268222;119268091;119268222;119270678;119270678;119270678;119270678;119273015;119273452;119273015;119273015;119274311;119274140;119274140;119274311;119274311;119274760;119274760;119274760;119274760;119274974;119274974;119274974;119274974;119274974;119275191;119275191;119275139;119275191;119275191;119275620;119276952;119276952;119276952;119277614;119277614;119277614;119277778;119277778;119277778;119277778;119278382;119278326;119278382;119278382;119279009;119279009;119279009;119279009;119279488;119280563;119280563;119280563;119281435;119281261;119281261;119283315;119283315;119283812;119283812;119284223;119284223;119284599;119284599;119285454;119285454	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4783	1440	2394
ENSMUSG00000025580	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119288363;119288364;119288364;119288660;119288660;119288660;119288869;119288869;119292500;119292819;119292841;119293559;119293559;119293559;119293892;119293892;119294325;119294325;119294571;119294571;119295473;119296067;119296067;119297692;119297805;119297805;119299828;119299828;119299828	119288559;119288559;119288559;119288787;119289076;119288787;119289010;119288976;119292934;119292934;119292934;119293697;119293596;119293697;119294033;119294033;119294405;119294405;119294703;119294703;119295535;119296133;119296133;119297877;119297877;119297877;119300014;119300018;119300089	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2122	480	661
ENSMUSG00000013483	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119307768;119314709;119314787;119316792;119316792;119317005;119317005;119321823;119321823;119321853;119322578;119322578;119322578;119324131;119324131;119324131;119324147;119325438;119325438;119325438;119325438;119326055;119326055;119326055;119326055;119326632;119326632;119326632;119326632;119328476;119328476;119328476;119328476;119331237;119331237;119331237;119331237;119331529;119331529;119331529;119331529;119333547;119333547;119333547;119333547;119333798;119333798;119333798;119333798;119337692;119337692;119337692;119337692;119338235;119338235;119338235;119338235;119338872;119338872;119339575;119339575;119339575;119339575;119340991;119340991;119340991;119340991;119343143;119343143;119343143;119343143;119343895;119343895;119343895;119343895;119344537;119344537;119344537;119344537	119307937;119314900;119314900;119316900;119316900;119317316;119317316;119321960;119321960;119321960;119322903;119322903;119322903;119324298;119324298;119324298;119324298;119325557;119325557;119325557;119325557;119326180;119326180;119326180;119326180;119326781;119326781;119326781;119326781;119328592;119328592;119328592;119328592;119331379;119331379;119331379;119331379;119331617;119331617;119331617;119331617;119333607;119333607;119333607;119333607;119333990;119333990;119333990;119333990;119337818;119337818;119337818;119337818;119338935;119338472;119338472;119338472;119338935;119338935;119339686;119339686;119339686;119339686;119341164;119341164;119341164;119341164;119343264;119343264;119343264;119343264;119344010;119344010;119344010;119344010;119345374;119345187;119345375;119345375	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4605	0	3
ENSMUSG00000005043	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119343425;119343482;119343498;119346242;119346418;119346799;119347688;119347688;119347688;119347688;119347688;119347688;119349540;119349540;119349540;119349540;119349977;119349977;119349977;119349977;119350402;119350402;119350402;119350402;119350924;119350924;119350924;119350924;119352646;119352646;119352646;119352646;119352646;119355397;119355397;119355397;119355397	119346837;119346837;119346837;119346837;119346791;119346837;119347891;119347861;119347891;119347799;119347891;119347784;119349621;119349621;119349621;119349621;119350133;119350133;119350133;119350133;119350552;119350552;119350552;119350552;119351029;119351029;119351029;119351029;119352699;119352806;119352806;119352806;119352724;119355530;119355510;119355536;119355502	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4414	26	69
ENSMUSG00000039908	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119355557;119355588;119355593;119356808;119356808;119356808;119357978;119359297;119359297;119359297;119362217;119362217;119362649;119363400;119368664;119368664;119369193;119369193;119370749;119370749;119370749;119373111;119373111;119374485;119374485;119374765;119374765;119376782;119376782;119377169;119377169;119377694;119377694;119379859;119379859;119380185;119380185	119355635;119355635;119355635;119357033;119357033;119357033;119358170;119359382;119359382;119359382;119362255;119362296;119363542;119363542;119368839;119368839;119369265;119369265;119370963;119370799;119370799;119373171;119373171;119374540;119374540;119374905;119374905;119376909;119376909;119377268;119377268;119377827;119377827;119379931;119379931;119381049;119381079	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3610	6	41
ENSMUSG00000088015	chr11	119390472	119390561	+	90	0	0
ENSMUSG00000070327	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119393100;119393100;119402522;119402522;119408714;119408714;119409413;119409413;119410105;119410105;119410722;119410722;119411427;119411427;119414332;119414332;119415039;119415039;119416447;119416447;119418074;119418077;119419173;119419173;119420066;119420066;119421314;119421314;119423005;119423005;119424156;119424156;119425993;119425993;119427496;119427496;119428013;119428013;119430166;119430166;119431588;119431588;119433411;119433411;119434688;119434688;119434936;119434936;119435911;119435911;119437618;119437618;119437973;119437973;119440189;119440189;119445630;119445630;119446110;119446110;119447235;119447235;119448754;119448754;119449245;119449245;119449724;119449724;119450093;119450093;119452511;119452511;119454440;119454440;119456153;119456153;119458268;119458268;119458733;119458733;119459941;119459941;119461891;119461891;119462101;119462101;119463304;119463304;119463568;119463568;119465005;119465005;119465886;119465886;119466224;119466224;119467227;119467230;119467970;119467970;119468818;119468818;119470132;119470132;119470855;119470855;119471715;119471715;119473364;119473364;119474166;119474166;119476463;119476463;119477049;119477049;119478057;119479537;119479537;119479640;119479864;119479864;119480751;119480751;119480866;119481146;119481146;119481146;119482397;119482397;119482397;119482931;119482931;119482931;119483655;119483655;119483655;119483837;119483837;119483837;119486005;119486005;119486005	119393196;119393196;119402691;119402691;119409181;119409181;119409526;119409526;119410274;119410274;119410877;119410877;119411638;119411638;119414615;119414615;119415298;119415298;119416644;119416644;119418299;119418299;119419228;119419228;119420219;119420219;119421478;119421478;119423094;119423094;119424278;119424278;119426173;119426173;119427669;119427669;119428162;119428162;119430749;119430749;119431753;119431753;119433628;119433628;119434828;119434828;119435103;119435103;119437060;119437060;119437811;119437811;119438128;119438128;119443791;119443791;119445766;119445766;119446205;119446205;119447353;119447353;119448873;119448873;119449354;119449354;119449874;119449874;119450231;119450231;119452702;119452702;119454585;119454585;119456307;119456307;119458492;119458492;119458914;119458914;119460061;119460061;119461991;119461991;119462283;119462283;119463473;119463473;119463667;119463667;119465116;119465116;119466096;119466096;119466426;119466426;119467349;119467349;119468080;119468080;119469060;119469060;119470213;119470213;119470889;119470889;119471809;119471809;119473523;119473523;119474334;119474334;119476554;119476554;119477300;119477300;119478225;119479669;119479669;119479669;119479947;119479947;119480931;119480931;119480931;119481347;119481347;119481347;119482474;119482474;119482474;119483125;119483125;119483125;119483744;119483744;119483744;119484015;119484015;119484015;119487417;119487415;119487418	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	16888	32	54
ENSMUSG00000039850	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	119491347;119491374;119491375;119491389;119491426;119491551;119491630;119491676;119491785;119491785;119491785;119491785;119499511;119499527;119499527;119499527;119499527;119499527;119499527;119499597;119499846;119499846;119499846;119499846;119499846;119499846;119499846;119500591;119500591;119500591;119500591;119500591;119500591;119500591;119500591;119500591;119500591;119501978;119502293;119502293;119502293;119502293;119502293;119502293;119502293;119502293;119502293;119502699;119502699;119502699;119502699;119502699;119502699;119502699;119502699;119502699;119502699;119505091;119505091;119505091;119505091;119505091;119505091;119505091;119505091;119505091;119505588;119507202;119507202;119507202;119507202;119507202;119507202;119507202	119491459;119491459;119491459;119491459;119491459;119491956;119491956;119491956;119491956;119491956;119491929;119491956;119499661;119499661;119499661;119499661;119499661;119499661;119499661;119499661;119499885;119499885;119499885;119499885;119499885;119499885;119499885;119500703;119500817;119500703;119500703;119500703;119500703;119500703;119500703;119500703;119500703;119502361;119502361;119502361;119502361;119502361;119502361;119502361;119502361;119502361;119502361;119502827;119502827;119502827;119502827;119502827;119502827;119502827;119502827;119502827;119502827;119505167;119505167;119505167;119505121;119505167;119505167;119505167;119505167;119505167;119505962;119507389;119511437;119507379;119507751;119509579;119507691;119511423	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6138	157	199
ENSMUSG00000025582	chr11;chr11;chr11;chr11;chr11	119538719;119543182;119544592;119546652;119547146	119542694;119543361;119544836;119546859;119547753	-;-;-;-;-	5217	2028	2820
ENSMUSG00000087675	chr11;chr11;chr11;chr11	119548630;119565287;119568263;119568813	119549762;119565450;119568436;119569046	+;+;+;+	1705	0	0
